"","price","area","bedrooms","bathrooms","stories","mainroad","guestroom","basement","hotwaterheating","airconditioning","parking","prefarea","furnishingstatus"
"435",3290000,3792,4,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
"390",3500000,4600,4,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
"280",4270000,6360,2,1,1,"yes","no","no","no","no",0,"no","furnished"
"45",7560000,6000,4,2,4,"yes","no","no","no","yes",1,"no","furnished"
"402",3500000,9500,3,1,2,"yes","no","no","no","no",3,"yes","unfurnished"
"22",8680000,7155,3,2,1,"yes","yes","yes","no","yes",2,"no","unfurnished"
"206",4900000,6300,3,1,1,"yes","no","no","no","yes",2,"no","semi-furnished"
"230",4690000,9667,4,2,2,"yes","yes","yes","no","no",1,"no","semi-furnished"
"193",5040000,6600,3,1,1,"yes","yes","yes","no","no",0,"yes","furnished"
"371",3640000,4280,2,1,1,"yes","no","no","no","yes",2,"no","semi-furnished"
"499",2660000,2000,2,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
"104",6195000,6350,3,2,3,"yes","yes","no","no","yes",0,"no","furnished"
"531",2240000,1950,3,1,1,"no","no","no","yes","no",0,"no","unfurnished"
"543",1750000,3620,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"255",4480000,4510,4,1,2,"yes","no","no","no","yes",2,"no","semi-furnished"
"492",2835000,2640,2,1,1,"no","no","no","no","no",1,"no","furnished"
"505",2653000,3185,2,1,1,"yes","no","no","no","yes",0,"no","unfurnished"
"526",2345000,3640,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"103",6195000,5500,3,2,4,"yes","yes","no","no","yes",1,"no","semi-furnished"
"331",3990000,4050,2,1,2,"yes","yes","yes","no","no",0,"yes","unfurnished"
"465",3080000,4500,2,1,2,"yes","no","no","yes","no",1,"no","semi-furnished"
"484",2940000,6615,3,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
"13",9310000,6550,4,2,2,"yes","no","no","no","yes",1,"yes","semi-furnished"
"296",4200000,2325,3,1,2,"no","no","no","no","no",0,"no","semi-furnished"
"217",4830000,6040,3,1,1,"yes","no","no","no","no",2,"yes","semi-furnished"
"176",5250000,9800,4,2,2,"yes","yes","no","no","no",2,"no","semi-furnished"
"345",3850000,3850,2,1,1,"yes","no","no","no","no",0,"no","semi-furnished"
"279",4277000,3400,3,1,2,"yes","no","yes","no","no",2,"yes","semi-furnished"
"110",6090000,6615,4,2,2,"yes","yes","no","yes","no",1,"no","semi-furnished"
"84",6580000,6000,3,2,4,"yes","no","no","no","yes",0,"no","semi-furnished"
"359",3745000,3480,2,1,1,"yes","no","no","no","no",0,"yes","semi-furnished"
"29",8400000,7950,5,2,2,"yes","no","yes","yes","no",2,"no","unfurnished"
"141",5740000,5800,3,2,4,"yes","no","no","no","yes",0,"no","unfurnished"
"252",4515000,3450,3,1,2,"yes","no","yes","no","no",1,"no","semi-furnished"
"406",3465000,3060,3,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"221",4795000,8100,4,1,4,"yes","no","yes","no","yes",2,"no","semi-furnished"
"412",3430000,2145,3,1,3,"yes","no","no","no","no",0,"yes","furnished"
"108",6125000,6420,3,1,3,"yes","no","yes","no","no",0,"yes","unfurnished"
"304",4200000,4500,3,1,1,"yes","no","yes","no","no",0,"no","furnished"
"33",8295000,4880,4,2,2,"yes","no","no","no","yes",1,"yes","furnished"
"514",2485000,4400,3,1,2,"yes","no","no","no","no",0,"no","unfurnished"
"149",5600000,6360,3,1,3,"yes","no","no","no","no",0,"yes","semi-furnished"
"287",4235000,2787,3,1,1,"yes","no","yes","no","no",0,"yes","furnished"
"102",6230000,5500,3,1,3,"yes","no","no","no","no",1,"yes","unfurnished"
"145",5600000,4700,4,1,2,"yes","yes","yes","no","yes",1,"no","furnished"
"329",3990000,4500,3,2,2,"no","no","yes","no","yes",0,"no","semi-furnished"
"525",2380000,3264,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"339",3885000,3780,2,1,2,"yes","yes","yes","no","no",0,"no","semi-furnished"
"118",5950000,3700,4,1,2,"yes","yes","no","no","yes",0,"no","furnished"
"346",3850000,2015,3,1,2,"yes","no","yes","no","no",0,"yes","semi-furnished"
"479",2940000,3600,3,1,2,"no","no","no","no","no",1,"no","unfurnished"
"107",6160000,5450,4,2,1,"yes","no","yes","no","yes",0,"yes","semi-furnished"
"64",7035000,6360,4,2,3,"yes","no","no","no","yes",2,"yes","furnished"
"224",4760000,6321,3,1,2,"yes","no","yes","no","yes",1,"no","furnished"
"507",2604000,2910,2,1,1,"no","no","no","no","no",0,"no","unfurnished"
"316",4095000,5600,2,1,1,"yes","no","no","no","yes",0,"no","semi-furnished"
"51",7420000,7440,3,2,4,"yes","no","no","no","no",1,"yes","unfurnished"
"482",2940000,2700,2,1,1,"no","no","no","no","no",0,"no","furnished"
"290",4200000,5850,2,1,1,"yes","yes","yes","no","no",2,"no","semi-furnished"
"138",5740000,4640,4,1,2,"yes","no","no","no","no",1,"no","semi-furnished"
"545",1750000,3850,3,1,2,"yes","no","no","no","no",0,"no","unfurnished"
"542",1767150,2400,3,1,1,"no","no","no","no","no",0,"no","semi-furnished"
"443",3220000,2684,2,1,1,"yes","no","no","no","yes",1,"no","unfurnished"
"282",4270000,4500,2,1,1,"yes","no","no","no","yes",2,"no","furnished"
"143",5600000,10500,4,2,2,"yes","no","no","no","no",1,"no","semi-furnished"
"442",3220000,4370,3,1,2,"yes","no","no","no","no",0,"no","unfurnished"
"285",4270000,7770,2,1,1,"yes","no","no","no","no",1,"no","furnished"
"408",3465000,2145,3,1,3,"yes","no","no","no","no",0,"yes","furnished"
"170",5250000,6540,4,2,2,"no","no","no","no","yes",0,"no","semi-furnished"
"48",7490000,6600,3,1,4,"yes","no","no","no","yes",3,"yes","furnished"
"204",4900000,5400,4,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
"295",4200000,4000,4,2,2,"no","no","no","no","no",0,"no","semi-furnished"
"24",8645000,4560,3,2,2,"yes","yes","yes","no","yes",1,"no","furnished"
"181",5215000,4500,4,2,1,"no","no","yes","no","yes",2,"no","semi-furnished"
"214",4893000,4995,4,2,1,"yes","no","yes","no","no",0,"no","semi-furnished"
"537",1960000,3420,5,1,2,"no","no","no","no","no",0,"no","unfurnished"
"225",4760000,10240,2,1,1,"yes","no","no","no","yes",2,"yes","unfurnished"
"470",3010000,4600,2,1,1,"yes","no","no","no","no",0,"no","furnished"
"468",3010000,3240,3,1,2,"yes","no","no","no","no",2,"no","semi-furnished"
"163",5460000,6600,4,2,2,"yes","yes","yes","no","no",0,"yes","semi-furnished"
"43",7700000,6480,3,2,4,"yes","no","no","no","yes",2,"no","unfurnished"
"1",13300000,7420,4,2,3,"yes","no","no","no","yes",2,"yes","furnished"
"486",2870000,3630,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"78",6650000,6500,3,2,3,"yes","no","no","no","yes",0,"yes","furnished"
"483",2940000,3150,3,1,2,"no","no","no","no","no",0,"no","unfurnished"
"501",2660000,2800,3,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"284",4270000,4360,4,1,2,"yes","no","no","no","no",0,"no","furnished"
"116",6020000,8000,3,1,1,"yes","yes","yes","no","yes",2,"yes","semi-furnished"
"233",4655000,3745,3,1,2,"yes","no","yes","no","no",0,"no","furnished"
"293",4200000,2747,4,2,2,"no","no","no","no","no",0,"no","semi-furnished"
"61",7140000,6000,3,2,2,"yes","yes","no","no","no",1,"no","semi-furnished"
"369",3675000,5640,2,1,1,"no","no","no","no","no",0,"no","semi-furnished"
"86",6510000,8250,3,2,3,"yes","no","no","no","yes",0,"no","furnished"
"327",3990000,4100,4,1,1,"no","no","yes","no","no",0,"no","unfurnished"
"489",2852500,5200,4,1,3,"yes","no","no","no","no",0,"no","unfurnished"
"355",3780000,8400,2,1,1,"yes","no","no","no","no",1,"no","furnished"
"539",1890000,3649,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"300",4200000,7000,3,1,1,"yes","no","no","no","no",3,"no","furnished"
"49",7455000,4300,3,2,2,"yes","no","yes","no","no",1,"no","unfurnished"
"361",3710000,4040,2,1,1,"yes","no","no","no","no",0,"no","semi-furnished"
"462",3080000,4960,2,1,1,"yes","no","yes","no","yes",0,"no","unfurnished"
"242",4550000,3760,3,1,1,"yes","no","no","no","no",2,"no","semi-furnished"
"246",4550000,5360,3,1,2,"yes","no","no","no","no",2,"yes","unfurnished"
"305",4193000,8250,3,1,1,"yes","no","yes","no","no",3,"no","semi-furnished"
"306",4193000,3450,3,1,2,"yes","no","no","no","no",1,"no","semi-furnished"
"247",4550000,3520,3,1,1,"yes","no","no","no","no",0,"yes","semi-furnished"
"239",4613000,4510,4,2,2,"yes","no","yes","no","no",0,"no","semi-furnished"
"219",4830000,4815,2,1,1,"yes","no","no","no","yes",0,"yes","semi-furnished"
"135",5803000,7000,3,1,1,"yes","no","yes","no","no",2,"yes","semi-furnished"
"528",2275000,1836,2,1,1,"no","no","yes","no","no",0,"no","semi-furnished"
"20",8855000,6420,3,2,2,"yes","no","no","no","yes",1,"yes","semi-furnished"
"377",3640000,4130,3,2,2,"yes","no","no","no","no",2,"no","semi-furnished"
"461",3087000,8100,2,1,1,"yes","no","no","no","no",1,"no","unfurnished"
"53",7350000,6000,4,2,4,"yes","yes","no","no","yes",1,"no","furnished"
"400",3500000,7350,2,1,1,"yes","no","no","no","no",1,"no","semi-furnished"
"356",3773000,8250,3,1,1,"yes","no","no","no","no",2,"no","furnished"
"130",5873000,11460,3,1,3,"yes","no","no","no","no",2,"yes","semi-furnished"
"467",3010000,3090,3,1,2,"no","no","no","no","no",0,"no","semi-furnished"
"65",7000000,11175,3,1,1,"yes","no","yes","no","yes",1,"yes","furnished"
"420",3360000,4960,4,1,3,"no","no","no","no","no",0,"no","semi-furnished"
"487",2870000,6000,2,1,1,"yes","no","no","no","no",0,"no","semi-furnished"
"534",2100000,2400,3,1,2,"yes","no","no","no","no",0,"no","unfurnished"
"124",5950000,7320,4,2,2,"yes","no","no","no","no",0,"no","furnished"
"77",6650000,6420,3,2,3,"yes","no","no","no","yes",0,"yes","furnished"
"218",4830000,6862,3,1,2,"yes","no","no","no","yes",2,"yes","furnished"
"98",6300000,6400,3,1,1,"yes","yes","yes","no","yes",1,"yes","semi-furnished"
"194",5033000,4800,2,1,1,"yes","yes","yes","no","no",0,"no","semi-furnished"
"19",8890000,4600,3,2,2,"yes","yes","no","no","yes",2,"no","furnished"
"273",4340000,4075,3,1,1,"yes","yes","yes","no","no",2,"no","semi-furnished"
"31",8400000,7475,3,2,4,"yes","no","no","no","yes",2,"no","unfurnished"
"529",2275000,3970,1,1,1,"no","no","no","no","no",0,"no","unfurnished"
"174",5250000,5300,4,2,1,"yes","no","no","no","yes",0,"yes","unfurnished"
"237",4620000,2870,2,1,2,"yes","yes","yes","no","no",0,"yes","semi-furnished"
"75",6650000,4040,3,1,2,"yes","no","yes","yes","no",1,"no","furnished"
"16",9100000,6000,4,1,2,"yes","no","yes","no","no",2,"no","semi-furnished"
"523",2380000,2475,3,1,2,"yes","no","no","no","no",0,"no","furnished"
"265",4410000,4900,2,1,2,"yes","no","yes","no","no",0,"no","semi-furnished"
"413",3430000,2610,3,1,2,"yes","no","yes","no","no",0,"yes","unfurnished"
"92",6419000,6750,2,1,1,"yes","yes","yes","no","no",2,"yes","furnished"
"122",5950000,7231,3,1,2,"yes","yes","yes","no","yes",0,"yes","semi-furnished"
"152",5565000,4400,4,1,2,"yes","no","no","no","yes",2,"yes","semi-furnished"
"458",3115000,3000,3,1,1,"no","no","no","no","yes",0,"no","unfurnished"
"207",4900000,5800,2,1,1,"yes","yes","yes","no","yes",0,"no","semi-furnished"
"249",4543000,4100,2,2,1,"yes","yes","yes","no","no",0,"no","semi-furnished"
"160",5460000,3150,3,2,1,"yes","yes","yes","no","yes",0,"no","furnished"
"229",4690000,3630,3,1,2,"yes","no","no","no","no",2,"no","semi-furnished"
"140",5740000,6360,3,1,1,"yes","yes","yes","no","yes",2,"yes","furnished"
"126",5943000,15600,3,1,1,"yes","no","no","no","yes",2,"no","semi-furnished"
"14",9240000,3500,4,2,2,"yes","no","no","yes","no",2,"no","furnished"
"430",3325000,4775,4,1,2,"yes","no","no","no","no",0,"no","unfurnished"
"383",3570000,3150,3,1,2,"yes","no","yes","no","no",0,"no","furnished"
"271",4340000,4500,3,2,3,"yes","no","no","yes","no",1,"no","furnished"
"401",3500000,3512,2,1,1,"yes","no","no","no","no",1,"yes","unfurnished"
"399",3500000,3120,3,1,2,"yes","no","no","no","no",1,"no","unfurnished"
"358",3773000,6930,4,1,2,"no","no","no","no","no",1,"no","furnished"
"389",3500000,3650,3,1,2,"yes","no","no","no","no",0,"no","unfurnished"
"212",4900000,12900,3,1,1,"yes","no","no","no","no",2,"no","furnished"
"127",5880000,7160,3,1,1,"yes","no","yes","no","no",2,"yes","unfurnished"
"133",5810000,5200,3,1,3,"yes","no","no","no","yes",0,"no","semi-furnished"
"41",7875000,6550,3,1,2,"yes","no","yes","no","yes",0,"yes","furnished"
"328",3990000,6480,3,1,2,"no","no","no","no","yes",1,"no","semi-furnished"
"36",8080940,7000,3,2,4,"yes","no","no","no","yes",2,"no","furnished"
"414",3430000,1950,3,2,2,"yes","no","yes","no","no",0,"yes","unfurnished"
"297",4200000,4600,3,2,2,"yes","no","no","no","yes",1,"no","semi-furnished"
"497",2695000,4000,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"457",3118850,2398,3,1,1,"yes","no","no","no","no",0,"yes","semi-furnished"
"309",4165000,4046,3,1,2,"yes","no","yes","no","no",1,"no","semi-furnished"
"418",3395000,3640,2,1,1,"yes","no","no","no","no",0,"no","furnished"
"344",3850000,4080,2,1,1,"yes","no","no","no","no",0,"no","semi-furnished"
"117",6020000,6900,3,2,1,"yes","yes","yes","no","no",0,"yes","unfurnished"
"351",3780000,3420,2,1,2,"yes","no","no","yes","no",1,"no","semi-furnished"
"474",3003000,8050,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"50",7420000,7440,3,2,1,"yes","yes","yes","no","yes",0,"yes","semi-furnished"
"336",3920000,3816,2,1,1,"yes","no","yes","no","yes",2,"no","furnished"
"286",4235000,6650,3,1,2,"yes","yes","no","no","no",0,"no","semi-furnished"
"254",4515000,3520,2,1,2,"yes","no","no","no","no",0,"yes","furnished"
"72",6755000,6000,4,2,4,"yes","no","no","no","yes",0,"no","unfurnished"
"434",3290000,3480,4,1,2,"no","no","no","no","no",1,"no","semi-furnished"
"168",5285000,4600,2,2,1,"yes","no","no","no","yes",2,"no","semi-furnished"
"357",3773000,2520,5,2,1,"no","no","yes","no","yes",1,"no","furnished"
"368",3675000,3630,2,1,1,"yes","no","no","no","yes",0,"no","unfurnished"
"113",6083000,4300,6,2,2,"yes","no","no","no","no",0,"no","furnished"
"234",4620000,4160,3,1,1,"yes","yes","yes","no","yes",0,"no","unfurnished"
"524",2380000,2787,4,2,2,"yes","no","no","no","no",0,"no","furnished"
"73",6720000,5020,3,1,4,"yes","no","no","no","yes",0,"yes","unfurnished"
"27",8463000,6000,3,2,4,"yes","yes","yes","no","yes",0,"yes","semi-furnished"
"363",3710000,4050,2,1,1,"yes","no","no","no","no",0,"no","furnished"
"15",9240000,7800,3,2,2,"yes","no","no","no","no",0,"yes","semi-furnished"
"294",4200000,4410,2,1,1,"no","no","no","no","no",1,"no","unfurnished"
"62",7070000,8880,2,1,1,"yes","no","no","no","yes",1,"no","semi-furnished"
"132",5810000,5828,4,1,4,"yes","yes","no","no","no",0,"no","semi-furnished"
"35",8120000,6840,5,1,2,"yes","yes","yes","no","yes",1,"no","furnished"
"394",3500000,7424,3,1,1,"no","no","no","no","no",0,"no","unfurnished"
"396",3500000,3600,6,1,2,"yes","no","no","no","no",1,"no","unfurnished"
"185",5110000,3000,3,2,2,"yes","yes","yes","no","no",0,"no","furnished"
"153",5565000,5400,5,1,2,"yes","yes","yes","no","yes",0,"yes","furnished"
"388",3500000,4240,3,1,2,"yes","no","no","no","yes",0,"no","semi-furnished"
"535",2100000,3000,4,1,2,"yes","no","no","no","no",0,"no","unfurnished"
"503",2660000,3480,2,1,1,"yes","no","no","no","no",1,"no","semi-furnished"
"231",4690000,5400,2,1,2,"yes","no","no","no","no",0,"yes","semi-furnished"
"28",8400000,8875,3,1,1,"yes","no","no","no","no",1,"no","semi-furnished"
"338",3920000,2145,4,2,1,"yes","no","yes","no","no",0,"yes","unfurnished"
"148",5600000,5500,3,2,2,"yes","no","no","no","no",1,"no","semi-furnished"
"451",3150000,3450,3,1,2,"yes","no","yes","no","no",0,"no","semi-furnished"
"360",3710000,3600,3,1,1,"yes","no","no","no","no",1,"no","unfurnished"
"298",4200000,3640,3,2,2,"yes","no","yes","no","no",0,"no","unfurnished"
"60",7210000,6000,3,2,4,"yes","yes","no","no","yes",1,"no","furnished"
"431",3290000,2500,2,1,1,"no","no","no","no","yes",0,"no","unfurnished"
"321",4060000,4320,3,1,2,"yes","no","no","no","no",2,"yes","furnished"
"268",4403000,4920,3,1,2,"yes","no","no","no","no",1,"no","semi-furnished"
"93",6405000,4800,3,2,4,"yes","yes","no","no","yes",0,"no","furnished"
"398",3500000,5900,2,1,1,"yes","no","no","no","no",1,"no","furnished"
"202",4900000,4095,3,1,2,"no","yes","yes","no","yes",0,"no","semi-furnished"
"392",3500000,3036,3,1,2,"yes","no","yes","no","no",0,"no","semi-furnished"
"454",3150000,3069,2,1,1,"yes","no","no","no","no",1,"no","unfurnished"
"241",4585000,3840,3,1,2,"yes","no","no","no","no",1,"yes","semi-furnished"
"478",2940000,4960,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"424",3360000,3750,3,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"348",3836000,3350,3,1,2,"yes","no","no","no","no",0,"no","unfurnished"
"425",3360000,3100,3,1,2,"no","no","yes","no","no",0,"no","semi-furnished"
"493",2800000,2650,3,1,2,"yes","no","yes","no","no",1,"no","unfurnished"
"515",2485000,3000,3,1,2,"no","no","no","no","no",0,"no","semi-furnished"
"428",3332000,2145,3,1,2,"yes","no","yes","no","no",0,"yes","furnished"
"480",2940000,3660,4,1,2,"no","no","no","no","no",0,"no","unfurnished"
"366",3703000,5450,2,1,1,"yes","no","no","no","no",0,"no","furnished"
"541",1820000,3000,2,1,1,"yes","no","yes","no","no",2,"no","unfurnished"
"411",3430000,3850,3,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"209",4900000,2970,3,1,3,"yes","no","no","no","no",0,"no","semi-furnished"
"97",6300000,9000,3,1,1,"yes","no","yes","no","no",1,"yes","furnished"
"464",3080000,3090,2,1,1,"yes","yes","yes","no","no",0,"no","unfurnished"
"341",3850000,5300,5,2,2,"yes","no","no","no","no",0,"no","semi-furnished"
"527",2310000,3180,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"56",7350000,6000,3,1,2,"yes","no","no","no","yes",1,"no","unfurnished"
"318",4060000,4992,3,2,2,"yes","no","no","no","no",2,"no","unfurnished"
"199",4935000,5948,3,1,2,"yes","no","no","no","yes",0,"no","semi-furnished"
"256",4480000,5885,2,1,1,"yes","no","no","no","yes",1,"no","unfurnished"
"201",4900000,4520,3,1,2,"yes","no","yes","no","yes",0,"no","semi-furnished"
"384",3570000,4500,4,2,2,"yes","no","yes","no","no",2,"no","furnished"
"2",12250000,8960,4,4,4,"yes","no","no","no","yes",3,"no","furnished"
"337",3920000,8080,3,1,1,"yes","no","no","no","yes",2,"no","semi-furnished"
"131",5866000,4800,3,1,1,"yes","yes","yes","no","no",0,"no","unfurnished"
"429",3325000,4040,2,1,1,"yes","no","no","no","no",1,"no","unfurnished"
"446",3150000,3450,1,1,1,"yes","no","no","no","no",0,"no","furnished"
"156",5530000,6100,3,2,1,"yes","no","yes","no","no",2,"yes","furnished"
"197",4970000,7686,3,1,1,"yes","yes","yes","yes","no",0,"no","semi-furnished"
"220",4795000,7000,3,1,2,"yes","no","yes","no","no",0,"no","unfurnished"
"235",4620000,3880,3,2,2,"yes","no","yes","no","no",2,"no","semi-furnished"
"436",3290000,4040,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"173",5250000,8400,3,1,2,"yes","yes","yes","no","yes",2,"yes","unfurnished"
"83",6615000,10500,3,2,1,"yes","no","yes","no","yes",1,"yes","furnished"
"208",4900000,3000,3,1,2,"yes","no","yes","no","yes",0,"no","semi-furnished"
"410",3430000,3185,2,1,1,"yes","no","no","no","no",2,"no","unfurnished"
"323",4025000,3460,3,2,1,"yes","no","yes","no","yes",1,"no","furnished"
"463",3080000,2160,3,1,2,"no","no","yes","no","no",0,"no","semi-furnished"
"253",4515000,9860,3,1,1,"yes","no","no","no","no",0,"no","semi-furnished"
"180",5215000,3180,3,2,2,"yes","no","no","no","no",2,"no","semi-furnished"
"162",5460000,6100,3,1,3,"yes","yes","no","no","yes",0,"yes","semi-furnished"
"460",3115000,3500,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"438",3290000,5880,3,1,1,"yes","no","no","no","no",1,"no","unfurnished"
"167",5320000,7800,3,1,1,"yes","no","yes","no","yes",2,"yes","unfurnished"
"419",3360000,3500,4,1,2,"yes","no","no","no","yes",2,"no","unfurnished"
"441",3234000,3640,4,1,2,"yes","no","yes","no","no",0,"no","unfurnished"
"215",4865000,4350,2,1,1,"yes","no","yes","no","no",0,"no","unfurnished"
"190",5040000,3540,2,1,1,"no","yes","yes","no","no",0,"no","semi-furnished"
"161",5460000,6210,4,1,4,"yes","yes","no","no","yes",0,"no","furnished"
"432",3290000,3180,4,1,2,"yes","no","yes","no","yes",0,"no","unfurnished"
"139",5740000,5000,3,1,3,"yes","no","no","no","yes",0,"no","semi-furnished"
"533",2135000,3000,2,1,1,"no","no","no","no","no",0,"no","unfurnished"
"481",2940000,3480,3,1,2,"no","no","no","no","no",1,"no","semi-furnished"
"178",5243000,6050,3,1,1,"yes","no","yes","no","no",0,"yes","semi-furnished"
"372",3640000,3570,3,1,2,"yes","no","yes","no","no",0,"no","semi-furnished"
"311",4130000,5985,3,1,1,"yes","no","yes","no","no",0,"no","semi-furnished"
"90",6440000,8580,5,3,2,"yes","no","no","no","no",2,"no","furnished"
"245",4550000,5320,3,1,2,"yes","yes","yes","no","no",0,"yes","semi-furnished"
"112",6090000,8372,3,1,3,"yes","no","no","no","yes",2,"no","unfurnished"
"440",3255000,3930,2,1,1,"no","no","no","no","no",0,"no","unfurnished"
"261",4473000,3162,3,1,2,"yes","no","no","no","yes",1,"no","furnished"
"68",6895000,7700,3,2,1,"yes","no","no","no","no",2,"no","unfurnished"
"314",4095000,3680,3,2,2,"yes","no","no","no","no",0,"no","semi-furnished"
"25",8575000,8800,3,2,2,"yes","no","no","no","yes",2,"no","furnished"
"166",5383000,6450,3,2,1,"yes","yes","yes","yes","no",0,"no","unfurnished"
"81",6629000,6000,3,1,2,"yes","no","no","yes","no",1,"yes","semi-furnished"
"216",4830000,4160,3,1,3,"yes","no","no","no","no",0,"no","unfurnished"
"333",3920000,5500,4,1,2,"yes","yes","yes","no","no",0,"no","semi-furnished"
"269",4382000,4950,4,1,2,"yes","no","no","no","yes",0,"no","semi-furnished"
"222",4767000,3420,4,2,2,"yes","no","no","no","no",0,"no","semi-furnished"
"335",3920000,3290,2,1,1,"yes","no","no","yes","no",1,"no","furnished"
"203",4900000,4120,2,1,1,"yes","no","yes","no","no",1,"no","semi-furnished"
"150",5600000,6600,4,2,1,"yes","no","yes","no","no",0,"yes","semi-furnished"
"288",4200000,5500,3,1,2,"yes","no","no","no","yes",0,"no","unfurnished"
"500",2660000,3630,3,3,2,"no","yes","no","no","no",0,"no","unfurnished"
"3",12250000,9960,3,2,2,"yes","no","yes","no","no",2,"yes","semi-furnished"
"179",5229000,7085,3,1,1,"yes","yes","yes","no","no",2,"yes","semi-furnished"
"147",5600000,10500,2,1,1,"yes","no","no","no","no",1,"no","semi-furnished"
"263",4445000,3750,2,1,1,"yes","yes","yes","no","no",0,"no","semi-furnished"
"128",5880000,6500,3,2,3,"yes","no","no","no","yes",0,"no","unfurnished"
"262",4473000,3510,3,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
"313",4098500,3600,3,1,1,"yes","no","yes","no","yes",0,"yes","furnished"
"4",12215000,7500,4,2,2,"yes","no","yes","no","yes",3,"yes","furnished"
"205",4900000,4770,3,1,1,"yes","yes","yes","no","no",0,"no","semi-furnished"
"415",3423000,4040,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"364",3710000,3584,2,1,1,"yes","no","no","yes","no",0,"no","semi-furnished"
"192",5040000,10700,3,1,2,"yes","yes","yes","no","no",0,"no","semi-furnished"
"444",3220000,4320,3,1,1,"no","no","no","no","no",1,"no","unfurnished"
"397",3500000,3640,2,1,1,"yes","no","no","no","no",1,"no","semi-furnished"
"106",6160000,4500,3,1,4,"yes","no","no","no","yes",0,"no","unfurnished"
"172",5250000,10269,3,1,1,"yes","no","no","no","no",1,"yes","semi-furnished"
"496",2730000,4000,3,1,2,"yes","no","no","no","no",1,"no","unfurnished"
"334",3920000,3000,3,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
"23",8645000,8050,3,1,1,"yes","yes","yes","no","yes",1,"no","furnished"
"157",5523000,6900,3,1,1,"yes","yes","yes","no","no",0,"yes","semi-furnished"
